地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业状态,登记注册类型,企业规模,行业类别代码,行业类别名称,工业总产值当年价格万元,年正常生产时间小时,政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,2,0.0,0.0,1.0,0.0,1,51352,,,,3110,炼铁,,,莱芜环境,市,莱芜市,山东九羊集团,792465817,山东省,371202,10,2,0,10.0,2.0,0.0,0.0,16.73,5329.27,2014,0
2,6,0.3333,2.0,2.0,1.0,1,56349,,,,4411,火力发电,,,日照环境,市,日照市,华能烟台发电,16500590X,山东省,370602,0,100,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3718837.5
0,3,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,威海环境,市,山东省威海市,文登热电厂,727542070,山东省,370000,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,文登热电厂,727542070,山东省,370000,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,0,53872,,,,,,,,哈尔滨环保,市,哈尔滨市,哈尔滨群力污水处理厂,68027600X,黑龙江省,230102,8,4,0,8.0,4.0,0.0,0.0,43.16,900.41,2014,0
0,4,0.0,0.0,4.0,0.0,1,60879.1,,,,2612,无机碱制造,,,山东环境,省,山东省,山东海天生物化工,754462172,山东省,370786,7,8,7,1.75,2.0,1.75,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,2.0,0.0,1,73002.05,,,,4411,火力发电,,,温州环保,市,浙江省温州市,浙江温州特鲁莱发电,70432083800,浙江省,330382,4,4,0,2.0,2.0,0.0,0.0,59.07,3197.66,2014,0
2,3,0.6667,2.0,2.0,1.0,1,81874.42,,,,2613,无机盐制造,,,江苏环保,省,江苏省,江苏瑞洪盐业,788866546,江苏省,320829,23,18,1,11.5,9.0,0.5,1.0,15.8,4709.37,2014,3355153.5
0,1,0.0,0.0,1.0,0.0,1,39984.28,,,,4190,其他未列明制造业,,,重庆环保,省,重庆省重庆市,英利能源（中国）,667708103,河北省,130000,1,0,1,1.0,0.0,1.0,0.0,23.41,2630.59,2014,0
0,2,0.0,0.0,1.0,0.0,1,82052,,,,3041,平板玻璃制造,,,济南环保,市,济南市,山东金晶科技股份,265127242,山东省,370000,24,4,0,24.0,4.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,59557,,,,4411,火力发电,,,滨州环保,市,滨州市,山东齐星长山热电,745665445,山东省,371626,1,3,0,1.0,3.0,0.0,0.0,16.73,5329.27,2014,0
0,4,0.0,0.0,3.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,江苏国信扬州发电,682192061,江苏省,321003,3,1,0,1.0,0.3333,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,0,40270.54,,,,3120,炼钢,,,刘帅168,省,湖南省,华菱湘潭钢铁,770052915,湖南省,430304,21,2,0,21.0,2.0,0.0,0.0,47.77,1385.09,2014,0
0,3,0.0,0.0,2.0,0.0,1,105231,,,,3110,炼铁,,,天津环保发布,省,天津省天津市,天津钢管制铁,700468296,天津市,120110,11,4,1,5.5,2.0,0.5,0.0,9.87,617.55,2014,0
0,1,0.0,0.0,1.0,0.0,0,40270.54,,,,3312,金属门窗制造,,,株洲市环境保护局,市,湖南省株洲市,株洲冶炼集团股份,616777117,湖南省,430204,2,0,2,2.0,0.0,2.0,0.0,47.77,1385.09,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,江阴兴澄特种钢铁,607984202,江苏省,320281,0,1,0,0.0,1.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,2.0,0.0,1,39984.28,,,,3120,炼钢,,,唐山市环境保护局,市,河北省唐山市,唐山贝氏体钢铁（集团）,776181822,河北省,130207,16,4,0,8.0,2.0,0.0,0.0,23.41,2630.59,2014,0
1,3,0.3333,1.0,1.0,1.0,1,56349,,,,4411,火力发电,,,日照环境,市,日照市,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
0,1,0.0,0.0,1.0,0.0,1,73002.05,,,,1713,棉印染精加工,,,绍兴-环保,市,浙江省绍兴市,绍兴第二印染,145976370,浙江省,330000,4,1,1,4.0,1.0,1.0,0.0,59.07,3197.66,2014,0
0,2,0.0,0.0,1.0,0.0,0,40270.54,,,,2651,初级形态塑料及合成树脂制造,,,绿水青山总关情,省,湖南省,中盐华湘化工,732846263,湖南省,431003,21,3,2,21.0,3.0,2.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,2.0,0.0,1,73002.05,,,,3011,水泥制造,,,浙江环保,省,浙江省,浙江红狮水泥股份,739918063,浙江省,330781,28,12,2,14.0,6.0,1.0,0.0,59.07,3197.66,2014,0
0,1,0.0,0.0,1.0,0.0,1,73002.05,,,,,,,,浙江环保,省,浙江省,恒昌集团浦江印染,147695679,浙江省,330726,3,2,0,3.0,2.0,0.0,0.0,59.07,3197.66,2014,0
0,1,0.0,0.0,1.0,0.0,0,34424.61,,,,3211,铜冶炼,,,铜陵环保,市,安徽省铜陵市,金隆铜业,610436303,安徽省,340702,0,0,1,0.0,0.0,1.0,0.0,27.53,2252.69,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,江苏镇江发电,608836068,江苏省,321112,10,4,0,10.0,4.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,中国国电集团公司谏壁发电厂,834754351,江苏省,321102,1,1,0,1.0,1.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,3140,钢压延加工,,,江苏环保,省,江苏省,扬州龙川钢管,752049173,江苏省,320000,0,2,1,0.0,2.0,1.0,0.0,15.8,4709.37,2014,0
1,5,0.2,1.0,1.0,1.0,1,60879.1,,,,4411,火力发电,,,威海环境,市,山东省威海市,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
0,1,0.0,0.0,1.0,0.0,1,60879.1,,,,2211,木竹浆制造,,,山东环境,省,山东省,亚太森博（山东）浆纸,613803877,山东省,370000,0,9,0,0.0,9.0,0.0,0.0,16.73,5329.27,2014,0
2,6,0.3333,2.0,2.0,1.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,华能烟台发电,16500590X,山东省,370602,0,100,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3718837.5
0,1,0.0,0.0,1.0,0.0,1,128478,,,,4411,火力发电,,,广州环保,市,广州市,广州发电厂,190663314,广东省,440103,0,0,2,0.0,0.0,2.0,0.0,51.26,4263.66,2014,0
0,3,0.0,0.0,2.0,0.0,1,81874.42,,,,3011,水泥制造,,,江苏环保,省,江苏省,句容台泥水泥,60893071600,江苏省,321183,5,2,0,2.5,1.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,35128.1,,,,,,,,绿映春天,省,四川省,宝轮镇污水处理厂,5108G1091,四川省,510802,0,0,0,0.0,0.0,0.0,0.0,35.22,3273.85,2014,0
0,2,0.0,0.0,1.0,0.0,0,40270.54,,,,,,,,绿水青山总关情,省,湖南省,湘潭市河东污水处理厂,794716552,湖南省,430304,7,3,0,7.0,3.0,0.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,2.0,0.0,1,57655,,,,2520,炼焦,,,徐州环保,市,徐州市,徐州华裕煤气,683525796,江苏省,320312,1,4,1,0.5,2.0,0.5,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,34674,,,,,,,,江西环保,省,江西省,江西永方电源,677975336,江西省,360000,163,72,0,163.0,72.0,0.0,0.0,60.01,1085.35,2014,0
0,1,0.0,0.0,1.0,0.0,1,56349,,,,3120,炼钢,,,日照环境,市,日照市,日照钢铁控股集团,750855956,山东省,371103,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,茌平齐鲁供热,732603456,山东省,371523,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,60879.1,,,,2621,氮肥制造,,,山东环境,省,山东省,阳煤集团淄博齐鲁第一化肥,756382010,山东省,370305,16,6,2,16.0,6.0,2.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,江苏华亚化纤,754621292,江苏省,320282,4,3,0,4.0,3.0,0.0,0.0,15.8,4709.37,2014,0
1,3,0.3333,1.0,1.0,1.0,1,60879.1,,,,4411,火力发电,,,威海环境,市,山东省威海市,华能临沂发电,168271787,山东省,371311,0,50,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3551539.0
1,5,0.2,1.0,1.0,1.0,1,56349,,,,4411,火力发电,,,日照环境,市,日照市,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
0,2,0.0,0.0,1.0,0.0,1,51826,,,,,,,,潍坊环保,市,潍坊市,山东联盟化工股份,165681617,山东省,370783,50,8,2,50.0,8.0,2.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,60879.1,,,,3041,平板玻璃制造,,,山东环境,省,山东省,山东金晶科技股份,265127242,山东省,370000,24,4,0,24.0,4.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,3.0,0.0,1,81874.42,,,,2221,机制纸及纸板制造,,,江苏环保,省,江苏省,镇江大东纸业,608832649,江苏省,320000,2,3,0,0.6667,1.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,65942,,,,,,,,永宁环保,县,银川市永宁县,宁夏危险废物和医疗废物处置中心,554194679,宁夏回族自治区,640100,1,0,1,1.0,0.0,1.0,0.0,11.89,1144.38,2014,0
0,2,0.0,0.0,2.0,0.0,1,81874.42,,,,2611,无机酸制造,,,江苏环保,省,江苏省,江苏索普化工股份,134790773,江苏省,321102,2,1,0,1.0,0.5,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,73002.05,,,,4411,火力发电,,,浙江环保,省,浙江省,温州伟明环保能源,692364816,浙江省,330302,2,6,0,2.0,6.0,0.0,0.0,59.07,3197.66,2014,0
1,10,0.1,1.0,5.0,0.2,1,81874.42,,,,4411,火力发电,,,扬州环保,市,江苏省扬州市,江苏华电扬州发电,714106931,江苏省,321003,5,17,1,1.0,3.4,0.2,0.0,15.8,4709.37,2014,967067.0
0,1,0.0,0.0,1.0,0.0,0,46928.59,,,,,,,,陕西环保,省,陕西省,榆林市污水处理厂,555658754,陕西省,610802,1,2,0,1.0,2.0,0.0,0.0,41.42,1757.41,2014,0
0,2,0.0,0.0,1.0,0.0,1,60879.1,,,,3110,炼铁,,,山东环境,省,山东省,山东九羊集团,792465817,山东省,371202,10,2,0,10.0,2.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,2.0,0.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,国电菏泽发电厂,168852194,山东省,370000,8,4,1,4.0,2.0,0.5,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,107545,,,,,,,,南京环保,市,南京市,吴江污水处理厂,251325475,江苏省,320584,6,0,0,6.0,0.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,2.0,0.0,1,69995,,,,,,,,福州环保,市,福州市,福建海峡环保,73954827700,福建省,350111,5,1,0,2.5,0.5,0.0,0.0,65.95,2007.43,2014,0
1,5,0.2,1.0,1.0,1.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
1,1,1.0,1.0,1.0,1.0,1,60879.1,,,,3110,炼铁,,,山东环境,省,山东省,山东球墨铸铁管,614072500,山东省,370112,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,409.0
1,5,0.2,1.0,1.0,1.0,1,60879.1,,,,4411,火力发电,,,济宁环境,市,山东省济宁市,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
1,3,0.3333,1.0,2.0,0.5,1,35032,,,,4411,火力发电,,,临沂环境,市,临沂市,华能临沂发电,168271787,山东省,371311,3,24,0,1.5,12.0,0.0,0.0,16.73,5329.27,2014,61525.0
0,1,0.0,0.0,1.0,0.0,0,40270.54,,,,2619,其他基础化学原料制造,,,株洲市环境保护局,市,湖南省株洲市,中盐湖南株洲化工集团,184299552,湖南省,430204,2,0,2,2.0,0.0,2.0,0.0,47.77,1385.09,2014,0
1,6,0.1667,1.0,5.0,0.2,1,73002.05,,,,1713,棉印染精加工,,,绍兴-环保,市,浙江省绍兴市,绍兴市金丰印染,146010092,浙江省,330000,66,15,0,13.2,3.0,0.0,0.0,59.07,3197.66,2014,74607.0
0,3,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,文登环境,县,山东省文登市,文登热电厂,727542070,山东省,370000,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,39984.28,,,,3140,钢压延加工,,,唐山市环境保护局,市,河北省唐山市,唐山贝氏体钢铁（集团）福丰钢铁,741532995,河北省,130207,4,2,0,4.0,2.0,0.0,0.0,23.41,2630.59,2014,0
0,3,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,茌平环境,县,山东省聊城市茌平县,茌平齐鲁供热,732603456,山东省,371523,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,101617,,,,4411,火力发电,,,佛山环保,市,佛山市,南海发电一厂,617645589,广东省,440605,1,0,1,1.0,0.0,1.0,0.0,51.26,4263.66,2014,0
0,1,0.0,0.0,1.0,0.0,0,35128.1,,,,2631,化学农药制造,,,四川环保,省,四川省,四川省乐山市福华通达农药科技,66956409400,四川省,511112,0,0,0,0.0,0.0,0.0,0.0,35.22,3273.85,2014,0
0,1,0.0,0.0,1.0,0.0,0,34674,,,,,,,,江西环保,省,江西省,江西洪城水业,550854801,江西省,360824,1,1,0,1.0,1.0,0.0,0.0,60.01,1085.35,2014,0
1,3,0.3333,1.0,1.0,1.0,1,56349,,,,4411,火力发电,,,日照环境,市,日照市,华能临沂发电,168271787,山东省,371311,0,50,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3551539.0
0,1,0.0,0.0,1.0,0.0,1,82052,,,,3110,炼铁,,,济南环保,市,济南市,济南庚辰钢铁,725411165,山东省,370112,1,0,0,1.0,0.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,60879.1,,,,,,,,山东环境,省,山东省,山东联盟化工股份,165681617,山东省,370783,50,8,2,50.0,8.0,2.0,0.0,16.73,5329.27,2014,0
