贺州市金琪矿业,广西壮族自治区,451102,2015,重金属,78844674400,1,110,2,912,铅锌矿采选,6750,7450,0
广西斯达特锰材料,广西壮族自治区,451025,2015,重金属,727650864,1,160,2,3150,铁合金冶炼,3026.6,5544,0
广西靖西县一洲锰业,广西壮族自治区,451025,2015,重金属,756524998,1,173,2,2619,其他基础化学原料制造,18619,8400,0
靖西县大西南锰业,广西壮族自治区,451025,2015,重金属,756517907,1,150,2,3150,铁合金冶炼,4895,8400,0
靖西湘潭电化科技,广西壮族自治区,451025,2015,重金属,77599658700,1,160,3,3150,铁合金冶炼,17941,8760,0
靖西县龙共矿业,广西壮族自治区,451025,2015,重金属,61979822000,2,173,3,3150,铁合金冶炼,0,0,0
靖西县鑫源锰业,广西壮族自治区,451025,2015,重金属,751239856,1,173,2,3150,铁合金冶炼,13500.5,4520,0
广西德保铜矿,广西壮族自治区,451024,2015,重金属,200700490,1,110,2,911,铜矿采选,11316,7896,0
广西北流春辉皮革制品,广西壮族自治区,450981,2015,重金属,745134329,1,150,3,1923,皮手套及皮装饰制品制造,1072,1386,0
昆明山通工贸,云南省,530113,2015,重金属,790279789,2,160,3,3211,铜冶炼,,,0
昆明合美达工贸,云南省,530113,2015,重金属,77266806X,2,173,3,911,铜矿采选,,,0
昆明红川有色金属冶炼,云南省,530113,2015,重金属,781685195,1,173,3,3214,锡冶炼,5346,5574,0
昆明华联铟业,云南省,530113,2015,重金属,772687973,1,150,3,3219,其他常用有色金属冶炼,2830.2,3457,0
昆明金湖冶金,云南省,530113,2015,重金属,668273500,1,173,3,3211,铜冶炼,13344,5856,0
昆明金水铜冶炼,云南省,530113,2015,重金属,772668027,1,160,3,3211,铜冶炼,139120.8,7560,0
昆明锦鸿涛矿业,云南省,530113,2015,重金属,722694171,1,150,3,3211,铜冶炼,5145,3910,0
昆明老来红矿业,云南省,530113,2015,重金属,797230814,1,173,3,911,铜矿采选,1623,3645,0
昆明利南矿业,云南省,530113,2015,重金属,781680554,2,150,4,3211,铜冶炼,,,0
昆明龙凤锌业开发,云南省,530113,2015,重金属,797216000,1,159,3,3212,铅锌冶炼,2498,6370,0
昆明龙腾矿业,云南省,530113,2015,重金属,79986145X,1,150,3,911,铜矿采选,997,3920,0
昆明市东川将军水金矿业,云南省,530113,2015,重金属,76388748X,1,172,3,911,铜矿采选,870,6672,0
昆明市东川宝雁山矿业,云南省,530113,2015,重金属,750679120,2,173,3,911,铜矿采选,,,0
昆明生乾矿业,云南省,530113,2015,重金属,787358048,1,170,3,911,铜矿采选,1126,5256,0
昆明升新矿业,云南省,530113,2015,重金属,775535852,1,173,3,912,铅锌矿采选,380,612,0
昆明瑞能矿业,云南省,530113,2015,重金属,673612917,2,171,3,912,铅锌矿采选,,,0
昆明全源矿业,云南省,530113,2015,重金属,775517072,1,173,3,3211,铜冶炼,4896,6324,0
昆明全利矿业,云南省,530113,2015,重金属,741486829,2,173,3,911,铜矿采选,,,0
昆明强瑞矿业,云南省,530113,2015,重金属,790264528,1,170,3,3211,铜冶炼,670,4059,0
广西泰星电子焊接材料,广西壮族自治区,451221,2015,重金属,68518629X,1,160,3,3214,锡冶炼,68453,3936,0
广西华锡集团股份,广西壮族自治区,451221,2015,重金属,667039616,1,160,2,912,铅锌矿采选,15739.7,7447,0
广西金河矿业股份,广西壮族自治区,451221,2015,重金属,200866829,1,150,2,912,铅锌矿采选,17200,2826,0
广西金山铟锗冶金化工,广西壮族自治区,451221,2015,重金属,791331139,1,150,3,3212,铅锌冶炼,16032,6768,0
广西南丹县德法兄弟投资,广西壮族自治区,451221,2015,重金属,66213135X,,,,,,,,0
南丹县车河镇拉么综合选矿厂大厂分厂,广西壮族自治区,451221,2015,重金属,708722181,,,,,,,,0
广西堂汉锌铟,广西壮族自治区,451221,2015,重金属,723088413,2,160,3,3212,铅锌冶炼,,,0
河池市津泰资源再生,广西壮族自治区,451221,2015,重金属,768930766,1,150,3,3212,铅锌冶炼,42120,4440,0
柳州华锡集团,广西壮族自治区,451221,2015,重金属,667039616,1,160,2,912,铅锌矿采选,15739.7,7447,0
南丹大厂铁丰福利矿冶,广西壮族自治区,451221,2015,重金属,77595363200,2,159,3,3311,金属结构制造,,,0
山东方明化工股份,山东省,371728,2015,危险废物,740957262,1,130,2,2614,有机化学原料制造,116916,7824,0
甘肃澳德资源股份,甘肃省,621227,2015,重金属,624149110,1,160,3,912,铅锌矿采选,3780,5820,0
甘肃宝徽实业集团锌冶公司,甘肃省,621227,2015,重金属,225851949,1,300,1,3212,铅锌冶炼,73422,8712,0
甘肃徽县宏泰实业,甘肃省,621227,2015,重金属,710290014,1,150,3,912,铅锌矿采选,1430,2400,0
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,1,173,2,912,铅锌矿采选,8564.1,7248,0
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,1,173,2,912,铅锌矿采选,8564.1,7248,0
徽县隆江矿业,甘肃省,621227,2015,重金属,719078618,1,150,3,912,铅锌矿采选,1320,2340,0
甘肃洛坝有色金属集团,甘肃省,621227,2015,重金属,71902874101,1,173,2,912,铅锌矿采选,8564.1,7248,0
徽县宝华矿业,甘肃省,621227,2015,重金属,665406566,2,173,3,912,铅锌矿采选,,,0
徽县鸿远矿业,甘肃省,621227,2015,重金属,73963858X,1,150,2,921,金矿采选,12188.3,8472,0
徽县华祥矿业,甘肃省,621227,2015,重金属,773406870,2,150,3,912,铅锌矿采选,,,0
徽县江洛谢家沟铅锌浮选厂,甘肃省,621227,2015,重金属,22585279X,1,150,4,912,铅锌矿采选,192.5,912,0
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,1,173,2,912,铅锌矿采选,8564.1,7248,0
延长油田公司南泥湾采油厂,陕西省,610602,2015,危险废物,223531132,1,110,1,710,石油开采,125000.6,8760,0
延长油田公司青化砭采油厂,陕西省,610602,2015,危险废物,923500695,,,,710,石油开采,,,0
陕西中汇煤化,陕西省,610581,2015,危险废物,709972595,1,150,1,2520,炼焦,49000,8760,0
陕西龙门煤化工,陕西省,610581,2015,危险废物,684765337,1,150,1,2520,炼焦,584286,8760,0
武宣县晓理贸易,广西壮族自治区,451323,2015,重金属,78841198X00,1,150,3,912,铅锌矿采选,65,1440,0
武宣县鑫达矿业,广西壮族自治区,451323,2015,重金属,78523683X00,,,,,,,,0
武宣县正祥矿业,广西壮族自治区,451323,2015,重金属,78214886900,1,173,3,912,铅锌矿采选,383.2,1200,0
武宣县荣隆废渣再生利用金属,广西壮族自治区,451323,2015,重金属,79133549800,2,174,3,3312,金属门窗制造,,,0
广西象州吉东锰业,广西壮族自治区,451322,2015,重金属,77174970600,2,340,2,3150,铁合金冶炼,,,0
广西下田锰矿,广西壮族自治区,451322,2015,重金属,199840778,1,150,2,2619,其他基础化学原料制造,12299.6,7200,0
广西忻城县宏图锰业,广西壮族自治区,451321,2015,重金属,768912795,1,150,2,820,锰矿、铬矿采选,2450,4224,0
忻城县中远矿业,广西壮族自治区,451321,2015,重金属,77599740800,,,,,,,,0
广西怀远冶炼厂,广西壮族自治区,451281,2015,重金属,200913816,2,170,3,3212,铅锌冶炼,,,0
广西申亚锰业,广西壮族自治区,451281,2015,重金属,759762481,1,150,3,3150,铁合金冶炼,8500,6792,0
郑州格力绿色再生资源,河南省,410102,2015,危险废物,561023149,1,170,3,4220,非金属废料和碎屑加工处理,6172.2,6000,0
郑州弓长昱祥电子产品,河南省,410102,2015,危险废物,68177197X,,,,,,,,0
鸿富锦精密电子（郑州）,河南省,410100,2015,危险废物,55830728X,1,240,1,3921,通信系统设备制造,84550,7488,0
山东东明石化集团,山东省,371728,2015,危险废物,16928036x,,,,,,,,0
长庆油田分公司第八采油厂(吴起-吴定采油作业区),陕西省,610626,2015,危险废物,52108208,,,,,,,,0
