昆明山通工贸,云南省,530113,2015,重金属,790279789,,,,3211,铜冶炼,,
昆明合美达工贸,云南省,530113,2015,重金属,77266806X,,,,3219,其他常用有色金属冶炼,,
昆明红川有色金属冶炼,云南省,530113,2015,重金属,781685195,,,,3214,锡冶炼,,
昆明华联铟业,云南省,530113,2015,重金属,772687973,,,,3219,其他常用有色金属冶炼,,
昆明金湖冶金,云南省,530113,2015,重金属,668273500,,,,3211,铜冶炼,,
昆明金水铜冶炼,云南省,530113,2015,重金属,772668027,,,,3211,铜冶炼,,
昆明锦鸿涛矿业,云南省,530113,2015,重金属,722694171,,,,3211,铜冶炼,,
昆明老来红矿业,云南省,530113,2015,重金属,797230814,,,,911,铜矿采选,,
昆明利南矿业,云南省,530113,2015,重金属,781680554,,,,3211,铜冶炼,,
昆明龙凤锌业开发,云南省,530113,2015,重金属,797216000,,,,3212,铅锌冶炼,,
昆明龙腾矿业,云南省,530113,2015,重金属,79986145X,,,,911,铜矿采选,,
昆明市东川将军水金矿业,云南省,530113,2015,重金属,76388748X,,,,911,铜矿采选,,
昆明市东川宝雁山矿业,云南省,530113,2015,重金属,750679120,,,,911,铜矿采选,,
昆明生乾矿业,云南省,530113,2015,重金属,787358048,,,,911,铜矿采选,,
昆明升新矿业,云南省,530113,2015,重金属,775535852,,,,912,铅锌矿采选,,
昆明瑞能矿业,云南省,530113,2015,重金属,673612917,,,,912,铅锌矿采选,,
昆明全源矿业,云南省,530113,2015,重金属,775517072,,,,3211,铜冶炼,,
昆明全利矿业,云南省,530113,2015,重金属,741486829,,,,911,铜矿采选,,
昆明强瑞矿业,云南省,530113,2015,重金属,790264528,,,,3211,铜冶炼,,
广西泰星电子焊接材料,广西壮族自治区,451221,2015,重金属,68518629X,,,,3214,锡冶炼,,
广西华锡集团股份,广西壮族自治区,451221,2015,重金属,667039616,,,,912,铅锌矿采选,,
广西金河矿业股份,广西壮族自治区,451221,2015,重金属,200866829,,,,912,铅锌矿采选,,
广西金山铟锗冶金化工,广西壮族自治区,451221,2015,重金属,791331139,,,,3212,铅锌冶炼,,
广西南丹县德法兄弟投资,广西壮族自治区,451221,2015,重金属,66213135X
南丹县车河镇拉么综合选矿厂大厂分厂,广西壮族自治区,451221,2015,重金属,708722181
广西堂汉锌铟,广西壮族自治区,451221,2015,重金属,723088413,,,,3212,铅锌冶炼,,
河池市津泰资源再生,广西壮族自治区,451221,2015,重金属,768930766,,,,3212,铅锌冶炼,,
柳州华锡集团,广西壮族自治区,451221,2015,重金属,667039616,,,,912,铅锌矿采选,,
南丹大厂铁丰福利矿冶,广西壮族自治区,451221,2015,重金属,77595363200,,,,3311,金属结构制造,,
山东方明化工股份,山东省,371728,2015,危险废物,740957262,,,,2614,有机化学原料制造,,
甘肃澳德资源股份,甘肃省,621227,2015,重金属,624149110,,,,921,金矿采选,,
甘肃宝徽实业集团锌冶公司,甘肃省,621227,2015,重金属,225851949,,,,3212,铅锌冶炼,,
甘肃徽县宏泰实业,甘肃省,621227,2015,重金属,710290014,,,,912,铅锌矿采选,,
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,,,,912,铅锌矿采选,,
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,,,,912,铅锌矿采选,,
徽县隆江矿业,甘肃省,621227,2015,重金属,719078618,,,,912,铅锌矿采选,,
甘肃洛坝有色金属集团,甘肃省,621227,2015,重金属,71902874101,,,,912,铅锌矿采选,,
徽县宝华矿业,甘肃省,621227,2015,重金属,665406566,,,,912,铅锌矿采选,,
徽县鸿远矿业,甘肃省,621227,2015,重金属,73963858X,,,,921,金矿采选,,
徽县华祥矿业,甘肃省,621227,2015,重金属,773406870,,,,912,铅锌矿采选,,
徽县江洛谢家沟铅锌浮选厂,甘肃省,621227,2015,重金属,22585279X,,,,912,铅锌矿采选,,
甘肃洛坝有色集团,甘肃省,621227,2015,重金属,719028741,,,,912,铅锌矿采选,,
延长油田公司南泥湾采油厂,陕西省,610602,2015,危险废物,223531132,,,,710,石油开采,,
延长油田公司青化砭采油厂,陕西省,610602,2015,危险废物,923500695,,,,710,石油开采,,
陕西中汇煤化,陕西省,610581,2015,危险废物,709972595,,,,2520,炼焦,,
陕西龙门煤化工,陕西省,610581,2015,危险废物,684765337,,,,2520,炼焦,,
武宣县晓理贸易,广西壮族自治区,451323,2015,重金属,78841198X00,,,,912,铅锌矿采选,,
武宣县鑫达矿业,广西壮族自治区,451323,2015,重金属,78523683X00
武宣县正祥矿业,广西壮族自治区,451323,2015,重金属,78214886900,,,,912,铅锌矿采选,,
武宣县荣隆废渣再生利用金属,广西壮族自治区,451323,2015,重金属,79133549800,,,,3312,金属门窗制造,,
广西象州吉东锰业,广西壮族自治区,451322,2015,重金属,77174970600,,,,3150,铁合金冶炼,,
广西下田锰矿,广西壮族自治区,451322,2015,重金属,199840778,,,,3150,铁合金冶炼,,
广西忻城县宏图锰业,广西壮族自治区,451321,2015,重金属,768912795,,,,820,锰矿、铬矿采选,,
忻城县中远矿业,广西壮族自治区,451321,2015,重金属,77599740800
广西怀远冶炼厂,广西壮族自治区,451281,2015,重金属,200913816,,,,3212,铅锌冶炼,,
广西申亚锰业,广西壮族自治区,451281,2015,重金属,759762481,,,,3130,黑色金属铸造,,
郑州格力绿色再生资源,河南省,410102,2015,危险废物,561023149,,,,4220,非金属废料和碎屑加工处理,,
郑州弓长昱祥电子产品,河南省,410102,2015,危险废物,68177197X
鸿富锦精密电子（郑州）,河南省,410100,2015,危险废物,55830728X,,,,3921,通信系统设备制造,,
山东东明石化集团,山东省,371728,2015,危险废物,16928036x
长庆油田分公司第八采油厂(吴起-吴定采油作业区),陕西省,610626,2015,危险废物,52108208
延长油田公司永宁采油厂,陕西省,610625,2015,危险废物,223690125,,,,710,石油开采,,
长庆油田分公司第三采油厂(志丹),陕西省,610625,2015,危险废物,715048323,,,,710,石油开采,,
延长油田股份,陕西省,610625,2015,危险废物,719704594,,,,710,石油开采,,
长庆油田分公司第一采油厂(志丹),陕西省,610625,2015,危险废物,762593674,,,,710,石油开采,,
长庆油田分公司第一采油厂(安塞),陕西省,610624,2015,危险废物,762593674,,,,710,石油开采,,
延长油田公司杏子川采油厂,陕西省,610624,2015,危险废物,223660380,,,,710,石油开采,,
长庆油田分公司坪北石油合作开发项目经理部,陕西省,610624,2015,危险废物,52111407
长庆油田分公司第四采油厂(安塞),陕西省,610624,2015,危险废物,71502775X,,,,710,石油开采,,
延长油田公司瓦窑堡采油厂,陕西省,610623,2015,危险废物,223630755,,,,710,石油开采,,
延长油田公司子长采油厂,陕西省,610623,2015,危险废物,923500732,,,,710,石油开采,,
延长油田公司子北采油厂,陕西省,610623,2015,危险废物,710035582,,,,710,石油开采,,
陕西延长石油(集团),陕西省,610622,2015,危险废物,923500687,,,,2511,原油加工及石油制品制造,,
延长油田公司青平川采油厂(延川),陕西省,610622,2015,危险废物,223600484,,,,710,石油开采,,
延长油田公司七里村采油厂,陕西省,610621,2015,危险废物,92350061x
延长油田公司甘谷驿采油厂,陕西省,610602,2015,危险废物,923500628,,,,710,石油开采,,
延长油田公司川口采油厂,陕西省,610602,2015,危险废物,22350058X,,,,710,石油开采,,
甘洛县中发矿业,四川省,513435,2015,重金属,709118946,,,,912,铅锌矿采选,,
甘洛县银都铅锌洗选,四川省,513435,2015,重金属,784738133,,,,912,铅锌矿采选,,
甘洛县银峰洗选,四川省,513435,2015,重金属,687900936,,,,912,铅锌矿采选,,
四川省甘洛县铁厂,四川省,513435,2015,重金属,213753268,,,,912,铅锌矿采选,,
四川省甘洛县外贸浮选厂,四川省,513435,2015,重金属,213753612,,,,912,铅锌矿采选,,
四川新锐电源,四川省,513435,2015,重金属,77298680X,,,,3849,其他电池制造,,
冕宁县东立矿业,四川省,513433,2015,重金属,77169410000
冕宁县飞天实业,四川省,513433,2015,重金属,723229060,,,,3232,稀土金属冶炼,,
冕宁县茂源稀土新材料,四川省,513433,2015,重金属,75661625X
四川美凌蓄电池,四川省,510184,2015,重金属,723425475,,,,3849,其他电池制造,,
四川荣联电子科技,四川省,510184,2015,重金属,679685383,,,,3849,其他电池制造,,
成都华融化工,四川省,510182,2015,重金属,723425301,,,,2612,无机碱制造,,
成都华明光源材料,四川省,510182,2015,重金属,752814840,,,,3360,金属表面处理及热处理加工,,
四川金路树脂,四川省,510626,2015,重金属,205200233,,,,2651,初级形态塑料及合成树脂制造,,
四川德阳扬嘉磷化工,四川省,510603,2015,重金属,205121834,,,,2611,无机酸制造,,
德阳市孝泉宝塔磷肥,四川省,510603,2015,重金属,708942239,,,,3011,水泥制造,,
德阳市祥松皮革制品,四川省,510603,2015,重金属,784745341,,,,1910,皮革鞣制加工,,
合江县海东皮革制品,四川省,510522,2015,重金属,684150383,,,,1910,皮革鞣制加工,,
伊顿液压（泸州）,四川省,510504,2015,重金属,72082330400,,,,3411,锅炉及辅助设备制造,,
泸州长城机电厂,四川省,510504,2015,重金属,204704667,,,,3831,电线、电缆制造,,
盐边县成宗矿业,四川省,510422,2015,重金属,789123429,,,,913,镍钴矿采选,,
盐边县宏大铜镍,四川省,510422,2015,重金属,742287821,,,,913,镍钴矿采选,,
四川省卓越钒钛,四川省,510411,2015,重金属,56763352X,,,,3219,其他常用有色金属冶炼,,
攀枝花市荣昌化工,四川省,510411,2015,重金属,665395430,,,,2611,无机酸制造,,
攀枝花市德铭有色冶金,四川省,510411,2015,重金属,769973207,,,,3213,镍钴冶炼,,
攀枝花泓兵钒镍,四川省,510411,2015,重金属,662782304,,,,3150,铁合金冶炼,,
攀枝花宏镀工贸,四川省,510411,2015,重金属,678377370,,,,3360,金属表面处理及热处理加工,,
攀枝花东立化工,四川省,510411,2015,重金属,667422711,,,,2611,无机酸制造,,
攀枝花市红杉钒制品,四川省,510402,2015,重金属,71754898900,,,,2612,无机碱制造,,
攀枝花市金江冶金化工厂,四川省,510402,2015,重金属,204462303,,,,2612,无机碱制造,,
攀枝花市锦利钒钛,四川省,510402,2015,重金属,775827310,,,,2612,无机碱制造,,
攀枝花市顺德亿锌业,四川省,510402,2015,重金属,667416477,,,,3212,铅锌冶炼,,
攀枝花市柱宇钒钛,四川省,510402,2015,重金属,782298955,,,,2612,无机碱制造,,
攀钢集团钒业,四川省,510402,2015,重金属,592775554,,,,2612,无机碱制造,,
成都立申实业,四川省,510184,2015,重金属,202631038,,,,1910,皮革鞣制加工,,
成都市科尔达皮业,四川省,510184,2015,重金属,20262943X,,,,1910,皮革鞣制加工,,
成都市千瑞达制革,四川省,510184,2015,重金属,621824192,,,,1910,皮革鞣制加工,,
崇州市富邦皮革,四川省,510184,2015,重金属,713075002,,,,1929,其他皮革制品制造,,
成都川西蓄电池（集团）,四川省,510184,2015,重金属,20262628X,,,,3849,其他电池制造,,
崇州市华议皮革,四川省,510184,2015,重金属,752830330,,,,1910,皮革鞣制加工,,
崇州市力源制革厂,四川省,510184,2015,重金属,740304106,,,,1910,皮革鞣制加工,,
崇州市胜利制革厂,四川省,510184,2015,重金属,774533783,,,,1910,皮革鞣制加工,,
崇州市恒力蓄电池工业,四川省,510184,2015,重金属,75280022X,,,,3849,其他电池制造,,
四川蓥峰实业,四川省,510682,2015,重金属,754722309,,,,1910,皮革鞣制加工,,
四川省广汉市万福磷肥实业,四川省,510681,2015,重金属,21425012800,,,,2622,磷肥制造,,
四川广汉星光冶金化工,四川省,510681,2015,重金属,62088795X,,,,2611,无机酸制造,,
广汉市英模表面处理加工厂,四川省,510681,2015,重金属,79788994200,,,,3360,金属表面处理及热处理加工,,
广汉市金达电镀厂,四川省,510681,2015,重金属,744696696
广汉市凤桥电镀厂,四川省,510681,2015,重金属,21425944800,,,,3360,金属表面处理及热处理加工,,
四川中元磷制品,四川省,510681,2015,重金属,75234009100,,,,2611,无机酸制造,,
广汉市久盛锌业,四川省,510681,2015,重金属,795849947,,,,1495,食品及饲料添加剂制造,,
环江锌源矿业,广西壮族自治区,451226,2015,重金属,747981548,,,,912,铅锌矿采选,,
广西吉圣源矿业,广西壮族自治区,451225,2015,重金属,76584977—8
广西罗城仫佬自治县金源有色金属工业总公司四堡锡矿,广西壮族自治区,451225,2015,重金属,20093408—6
罗城仫佬族自治县宝坛乡孟公山铜锡矿,广西壮族自治区,451225,2015,重金属,67249940—6
罗城仫佬族自治县华纳矿业,广西壮族自治区,451225,2015,重金属,76582301—7
罗城仫佬族自治县一洞锡矿,广西壮族自治区,451225,2015,重金属,20093131—X
凤山县宏益矿业,广西壮族自治区,451223,2015,重金属,737619043,,,,921,金矿采选,,
广西凤山天承黄金矿业,广西壮族自治区,451223,2015,重金属,756545174,,,,921,金矿采选,,
广西华锡集团股份,广西壮族自治区,451221,2015,重金属,90097189X,,,,914,锡矿采选,,
广西高峰矿业,广西壮族自治区,451221,2015,重金属,198230791,,,,914,锡矿采选,,
辽宁华锦通达化工股份,辽宁省,211123,2015,危险废物,279309506,,,,4411,火力发电,,
