,全国,53935,50251,47203
411400,商丘,27331.8,24940,23359
411500,信阳,31732.55,30157,27490
411600,周口,25682.07,23728,22651
411700,驻马店,28305.03,27001,24461
420100,武汉,111469,104132,98000
420200,黄石,53033,50053,49796
420300,十堰,41923,38431,35604
420500,宜昌,89978,82360,76369
420600,襄阳,60802,60319,55924
420700,鄂州,74983,68921,64851
420800,荆门,50016,48000,45378
420900,孝感,32019,29924,27891
421000,荆州,29826,27875,25774
421100,黄冈,27081,25262,23128
421200,咸宁,43708,41234,38770
421300,随州,38234,35900,33156
430100,长沙,123681,115443,107683
430200,株洲,62681,58661,54741
430300,湘潭,65200,60430,55968
430400,衡阳,39020,35538,32934
430500,邵阳,20858,19156,17498
430600,岳阳,54514,51429,47862
430700,常德,50572,46408,43215
430800,张家界,32598,29425,27051
430900,益阳,33568,30776,28596
431000,郴州,46408,42682,39999
431100,永州,28744,26222,24295
431200,怀化,28430,26060,24368
431300,娄底,36058,33444,31509
440100,广州,141933,136188,128478
440200,韶关,41388,39380,38386
440300,深圳,167411,157985,149495
440400,珠海,134500,124706,116537
440500,汕头,37382,33732,31201
440600,佛山,115891.04,108299,101617
440700,江门,53374,49608,46237
440800,湛江,35617,32933,31420
440900,茂名,43211,40324,38951
441200,肇庆,51178,48670,45795
441300,惠州,71605,66231,63657
441400,梅州,24031,22155,20529
441500,汕尾,27351,25283,23928
441600,河源,29205,26401,25208
441700,阳江,50430.84,49894,46938
441800,清远,36146,33392,31477
441900,东莞,3632.37,75616,70605
442000,中山,99471,94030,88682
445100,潮州,36956,33954,31302
445200,揭阳,33451,31255,29600
445300,云浮,31501,29078,27252
450100,南宁,52724,49066,43303
450200,柳州,62855,58869,57049
450300,桂林,41639,39329,37288
450400,梧州,39072,36104,31293
450500,北海,61619,55248,53603
450600,防城港,73197,67972,65184
450700,钦州,34160,29560,26971
450800,贵港,22230,20240,19004
450900,玉林,27111,25444,23784
451000,百色,30881,27363,25806
451100,贺州,25499,23178,22345
451200,河池,18842,17841,17474
451300,来宾,26885,25667,25563
451400,崇左,37161,33355,31944
460100,海口,56284,52534,49943
460200,三亚,63273,58486,54584
460300,三沙,,,
460400,儋州,27885,25813,19728
500000,重庆,58502,52321,47850
510100,成都,76960,74273,70019
510300,自贡,44481,41447,39145
510400,攀枝花,82221,75078,70646
510500,泸州,34497,31714,29655
510600,德阳,49835,45701,43091
510700,绵阳,38202,35754,33558
510800,广元,25072,23263,22117
510900,遂宁,30615,27868,24691
511000,内江,34667,32080,31024
511100,乐山,43110,39973,37125
511300,南充,25871,23881,22639
511400,眉山,37227,34379,31664
511500,宜宾,36735,34060,32318
511600,广安,33130,31046,28489
511700,达州,25921,24342,24411
511800,雅安,35335,32523,30052
511900,巴中,16405,15076,13756
512000,资阳,37308,35702,33592
520100,贵阳,67771,63003,55018
520200,六盘水,45325,41618,36228
520300,遵义,38709,35123,30484
520400,安顺,30216,27065,22569
520500,毕节,24544,22230,19369
520600,铜仁,27366,24712,20826
530100,昆明,64162,59656,56236
530300,曲靖,29266,27045,27529
530400,玉溪,55389,52812,50511
530500,保山,23160,21444,19566
530600,昭通,14090,13097,12480
530700,丽江,24186,20724,20663
530800,普洱,21756,19789,18422
530900,临沧,21967,20077,18710
540100,拉萨,61591,59223,56617
610100,西安,71357,66938,63794
610200,铜川,36803,38378,38552
610300,宝鸡,51262,47565,43824
610400,咸阳,48119,43426,41971
610500,渭南,27743,27452,26675
610600,延安,48300,53924,62714
610700,汉中,33597,31001,28908
610800,榆林,81764,77267,86482
610900,安康,32109,29193,26117
611000,商洛,29574,26415,24538
620100,兰州,61207,56972,54771
620200,嘉峪关,62641.8,78336,101955
620300,金昌,44202,47739,54565
620400,白银,25813,25410,26174
620500,天水,53980,16743,15852
620600,武威,25396,22931,22406
620700,张掖,32729,30704,29852
620800,平凉,17486,18490,16776
620900,酒泉,51721,48920,55000
621000,庆阳,26734,27366,30087
621100,定西,11264,10987,10470
621200,陇南,12293,12172,10171
630100,西宁,53800,49197,46762
630200,海东,28998.5,26531,25446
640100,银川,74269,69594,65942
640200,石嘴山,64854,61845,61001
640300,吴忠,32035,29698,28572
640400,固原,18888,17796,16268
640500,中卫,29538,27857,26354
650100,乌鲁木齐,69565,74340,70428
650200,克拉玛依,137307,131014,153084
