地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,7,0.0,0.0,5.0,0.0,1,,,山东环境,省,山东省,山东海天生物化工,754462172,山东省,370786,7,10,7,1.4,2.0,1.4,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,国电江苏谏壁发电,733742773,江苏省,321102,0,0,0,0.0,0.0,0.0,0.0,15.8,4709.37,2014,0
0,4,0.0,0.0,2.0,0.0,1,,,菏泽环境,市,菏泽市,山东巨润建材,672204911,山东省,371724,0,2,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,2.0,0.0,0,,,刘帅168,省,湖南省,湘潭市河东污水处理厂,794716552,湖南省,430304,12,6,0,6.0,3.0,0.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,菏泽环境,市,菏泽市,国电菏泽发电厂,168852194,山东省,370000,4,4,1,4.0,4.0,1.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,济宁环境,市,山东省济宁市,山东华金集团,706345473,山东省,370831,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,莱芜环境,市,莱芜市,山东九羊集团,792465817,山东省,371202,10,2,0,10.0,2.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,2.0,0.0,1,,,福州环保,市,福州市,福建海峡环保,73954827700,福建省,350111,5,1,0,2.5,0.5,0.0,0.0,65.95,2007.43,2014,0
1,3,0.3333,1.0,1.0,1.0,1,,,日照环境,市,日照市,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
0,1,0.0,0.0,1.0,0.0,0,,,四川环保,省,四川省,四川省乐山市福华通达农药科技,66956409400,四川省,511112,0,0,0,0.0,0.0,0.0,0.0,35.22,3273.85,2014,0
2,6,0.3333,2.0,2.0,1.0,1,,,山东环境,省,山东省,华能烟台发电,16500590X,山东省,370602,0,100,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3718837.5
0,2,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,山东金晶科技股份,265127242,山东省,370000,24,4,0,24.0,4.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,浙江环保,省,浙江省,温州伟明环保能源,692364816,浙江省,330302,2,6,0,2.0,6.0,0.0,0.0,59.07,3197.66,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,江苏华亚化纤,754621292,江苏省,320282,4,3,0,4.0,3.0,0.0,0.0,15.8,4709.37,2014,0
0,3,0.0,0.0,1.0,0.0,1,,,文登环境,县,山东省文登市,文登热电厂,727542070,山东省,370000,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,扬州龙川钢管,752049173,江苏省,320000,0,2,1,0.0,2.0,1.0,0.0,15.8,4709.37,2014,0
1,1,1.0,1.0,1.0,1.0,1,,,镇海环保,县,宁波市镇海区,浙江浙能镇海发电,720083684,浙江省,330211,20,9,2,20.0,9.0,2.0,0.0,59.07,3197.66,2014,81623.0
