2748,世龙实业,江西世龙实业股份,江西,废水,景德镇市
2805,丰元股份,山东丰元化学股份,山东,废水,枣庄市
300132,青松股份,福建青松股份,福建,废水,南平市
300239,东宝生物,包头东宝生物技术股份,内蒙古,废水,包头市
300294,博雅生物,江西博雅生物制药股份,江西,废水,抚州市
300363,博腾股份,重庆博腾制药科技股份,重庆,危险废物,市辖区
300433,蓝思科技,蓝思科技股份,湖南,废水,长沙市
300497,富祥股份,江西富祥药业股份,江西,废水,景德镇市
600019,宝钢股份,宝山钢铁股份,上海,废水,市辖区
600031,三一重工,三一重工股份,湖南,废水,长沙市
600063,皖维高新,安徽皖维高新材料股份,安徽,废水,合肥市
600066,宇通客车,郑州宇通客车股份,河南,废水,郑州市
600103,青山纸业,福建省青山纸业股份,福建,废水,三明市
600117,西宁特钢,西宁特殊钢股份,青海,废气,西宁市
600183,生益科技,广东生益科技股份,广东,危险废物,东莞市
600197,伊力特,新疆伊力特实业股份,新疆生产建设兵团,废水,第四师
600207,安彩高科,河南安彩高科股份,河南,废水,安阳市
600226,升华拜克,浙江升华拜克生物股份,浙江,废水,湖州市
600227,赤天化,贵州赤天化股份,贵州,废水,遵义市
600230,*ST沧大,沧州大化股份,河北,废水,沧州市
600235,民丰特纸,民丰特种纸股份,浙江,废水,嘉兴市
600267,海正药业,浙江海正药业股份,浙江,废水,台州市
600273,嘉化能源,浙江嘉化能源化工股份,浙江,废气,嘉兴市
600282,南钢股份,南京钢铁股份,江苏,废水,南京市
600293,三峡新材,湖北三峡新型建材股份,湖北,废气,宜昌市
600298,安琪酵母,安琪酵母股份,湖北,废水,宜昌市
600308,华泰股份,山东华泰纸业股份,山东,废水,东营市
600319,*ST亚星,潍坊亚星化学股份,山东,废水,潍坊市
600353,旭光股份,成都旭光电子股份,四川,重金属,成都市
600367,红星发展,贵州红星发展股份,贵州,废气,安顺市
600389,江山股份,南通江山农药化工股份,江苏,废水,南通市
600391,成发科技,四川成发航空科技股份,四川,重金属,成都市
600399,抚顺特钢,抚顺特殊钢股份,辽宁,废气,抚顺市
600408,安泰集团,山西安泰集团股份,山西,废气,晋中市
600409,三友化工,唐山三友化工股份,河北,废水,唐山市
600426,华鲁恒升,山东华鲁恒升化工股份,山东,废水,德州市
600432,*ST吉恩,吉林吉恩镍业股份,吉林,废气,吉林市
600448,华纺股份,华纺股份,山东,废水,滨州市
600469,风神股份,风神轮胎股份,河南,废气,焦作市
600470,六国化工,安徽六国化工股份,安徽,废气,铜陵市
600488,天药股份,天津天药药业股份,天津,废水,市辖区
600493,凤竹纺织,福建凤竹纺织科技股份,福建,废水,泉州市
600507,方大特钢,方大特钢科技股份,江西,废气,南昌市
600519,贵州茅台,贵州茅台酒股份,贵州,废水,遵义市
600531,豫光金铅,河南豫光金铅股份,河南,废气,省直辖县级行政区划
600567,山鹰纸业,安徽山鹰纸业股份,安徽,废水,马鞍山市
600569,安阳钢铁,安阳钢铁股份,河南,废水,安阳市
600586,金晶科技,山东金晶科技股份,山东,废气,淄博市
600618,氯碱化工,上海氯碱化工股份,上海,废水,市辖区
600688,上海石化,中国石化上海石油化工股份,上海,废水,市辖区
600740,山西焦化,山西焦化股份,山西,废水,临汾市
600746,江苏索普,江苏索普化工股份,江苏,废水,镇江市
600789,鲁抗医药,山东鲁抗医药股份,山东,废水,济宁市
600808,马钢股份,马鞍山钢铁股份,安徽,废水,马鞍山市
600809,山西汾酒,山西杏花村汾酒厂股份,山西,废水,吕梁市
600810,神马股份,神马实业股份,河南,废水,平顶山市
600839,四川长虹,四川长虹电器股份,四川,废水,绵阳市
600847,万里股份,重庆万里新能源股份,重庆,重金属,市辖区
600867,通化东宝,通化东宝药业股份,吉林,废水,通化市
600888,新疆众和,新疆众和股份,新疆自治区,危险废物,乌鲁木齐市
600961,株冶集团,株洲冶炼集团股份,湖南,废气,株洲市
600963,岳阳林纸,岳阳林纸股份,湖南,废水,岳阳市
600966,博汇纸业,山东博汇纸业股份,山东,废水,淄博市
600987,航民股份,浙江航民股份,浙江,废水,杭州市
601002,晋亿实业,晋亿实业股份,浙江,危险废物,嘉兴市
601012,隆基股份,西安隆基硅材料股份,陕西,废水,西安市
601015,陕西黑猫,陕西黑猫焦化股份,陕西,废气,渭南市
601106,中国一重,中国第一重型机械股份公司,黑龙江,废水,齐齐哈尔市
601633,长城汽车,长城汽车股份,河北,危险废物,保定市
601678,滨化股份,滨化集团股份,山东,废水,滨州市
601700,风范股份,常熟风范电力设备股份,江苏,危险废物,苏州市
601969,海南矿业,海南矿业股份,海南,废水,省直辖县级行政区划
603067,振华股份,湖北振华化学股份,湖北,重金属,黄石市
603328,依顿电子,广东依顿电子科技股份,广东,废水,中山市
603369,今世缘,江苏今世缘酒业股份,江苏,废水,淮安市
603520,司太立,浙江司太立制药股份,浙江,危险废物,台州市
603568,伟明环保,浙江伟明环保股份,浙江,危险废物,温州市
603968,醋化股份,南通醋酸化工股份,江苏,废水,南通市
