林周县江夏乡财胜矿业有限公司林周选矿厂,西藏自治区,540121,2015,重金属,741912912,,,,,
西藏华钰矿业有限公司当雄县拉屋铜锌矿选矿厂,西藏自治区,540122,2016,重金属,783512503,,,,,
凉山矿业股份有限公司,四川省,513425,2015,重金属,733390640,,,,,
会理县兴拉矿业有限责任公司,四川省,513425,2015,重金属,756647517,,,,,
会理县星源冶金实业有限责任公司,四川省,513425,2015,重金属,,,,,,
会理县新越镁镍有限公司,四川省,513425,2015,重金属,784735338,,,,,
会理县小石房铅锌矿,四川省,513425,2015,重金属,213251874,,,,,
会理县五龙富民矿业有限责任公司,四川省,513425,2015,重金属,789136289,,,,,
会理县万旺锌业有限责任公司,四川省,513425,2015,重金属,735898384,,,,,
会理县万丰矿业有限责任公司,四川省,513425,2015,重金属,791823328,,,,,
会理县万丰矿业有限责任公司,四川省,513425,2015,重金属,79182332800,,,,,
会理县通安小青山金铜矿（矿山）,四川省,513425,2015,重金属,213250812,,,,,
凉山州新美矿业有限责任公司会理冶炼厂,四川省,513425,2015,重金属,662776609,,,,,
四川会理大铜有限责任公司,四川省,513425,2015,重金属,213250409,,,,,
会理县天仁矿业有限责任公司,四川省,513425,2015,重金属,775848410,,,,,
会理县白草有色金属选矿厂,四川省,513425,2015,重金属,213250353,,,,,
会理县顺通选矿有限责任公司,四川省,513425,2015,重金属,752343938,,,,,
会理县攀云综合选厂,四川省,513425,2015,重金属,621549119,,,,,
会理县绿水乡万通铁矿,四川省,513425,2015,重金属,779815448,,,,,
会理县落东铜业有限公司,四川省,513425,2015,重金属,709116211,,,,,
会理县黎溪镇南冲铜矿,四川省,513425,2015,重金属,213254469,,,,,
会理县昆鹏铜业有限责任公司,四川省,513425,2015,重金属,66027533300,,,,,
会理县矿产品开发有限责任公司,四川省,513425,2015,重金属,213253984,,,,,
会理县金天艾沙铜业有限责任公司,四川省,513425,2015,重金属,213254127,,,,,
会理县宏源矿业有限责任公司,四川省,513425,2015,重金属,791830923,,,,,
会理县黑箐矿业股份有限责任公司,四川省,513425,2015,重金属,767298084,,,,,
会理县昌运选厂,四川省,513425,2015,重金属,727479702,,,,,
会理县仓六锡矿,四川省,513425,2015,重金属,213251292,,,,,
绍兴市新民热电有限公司,浙江省,330620,2015,危险废物,143018080,,,,,
浙江医药股份有限公司维生素厂,浙江省,330602,2015,危险废物,735251855,,,,,
西藏昌都赛西实业有限公司八宿县错纳铅锌矿选矿厂,西藏自治区,542127,2015,重金属,783538818,,,,,
西藏玉龙铜矿有限公司,西藏自治区,542122,2015,重金属,741924163,,,,,
西藏墨竹工卡开源矿业有限公司墨竹工卡县如若郎铅锌选矿厂,西藏自治区,540127,2015,重金属,78351078600,,,,,
墨竹工卡万洋工贸有限公司墨竹工卡县铅锌矿选矿厂,西藏自治区,540127,2015,重金属,585756320,,,,,
西藏华泰龙矿业开发有限公司墨竹工卡县甲玛铜多金属选矿厂,西藏自治区,540127,2015,重金属,783519684,,,,,
西藏中凯矿业股份有限公司墨竹工卡县尼玛江热乡邦达铜矿选矿厂,西藏自治区,540127,2015,重金属,724901357,,,,,
